	Analysis of efficacy
23134	Adverse events remotely, possibly, or probably related to treatment
23135	Reasons for premature withdrawals
23136	Pain perception in acupuncture and placebo: VAS scores
23137	Pain scores on a 100 mm visual analogue scale
23138	Relation between doctor-patient communication and patients' opinions, feelings, and choices of treatment
23139	Triglycerides, total homocysteine, and related factors before and after therapy with fenofibrate and bezafibrate in hypertriglyceridaemic men
23140	Estimated proportions of children who were HIV-1 infected by 3 months of age
23141	Unadjusted associations between socioeconomic indicators and risk of HIV-1 infection by 3 months of age in 547 children
23142	Associations between feeding practices and risk of HIV-1 infection by 3 months of age
23143	Antioxidant status in healthy controls and mild asthmatic patients
23144	Occurrence of pre-eclampsia in intention-to-treat and completed-study cohorts
23145	Logistic-regression analysis
23146	Differences in proportions of incontinent patients between the treatment and the control group
23147	Average loss of urine per 24 h
23148	Scores on the visual analogue scale preoperatively, and at 1, 6, and 12 months
23149	Reasons for stopping treatment
23150	Clinical outcomes for ramipril and placebo groups
23151	Change in blood pressure with ramipril and placebo
23152	Numbers and types of clinical trials attached to drug-licensing applications for postmenopausal hormone therapies
23153	Description of trials reporting cardiovascular events
23154	Number of women with cardiovascular adverse effects, odds ratios, and probability of finding observed odds ratios
23155	Hysteroscopical and histological findings at entry for women who completed the trial and those who withdrew
23156	Hysteroscopical and histological findings at the end of the trial
23157	Uterine changes at 6 and 12 months as assessed by transvaginal sonography
23158	Vaginal bleeding patterns at different intervals over the trial period
23159	Laboratory blood test results on admission
23160	MTHFR mating types of 167 couples ascertained for a child with NTD, genotypes of 3 of their surviving affected offspring, and 181 unaffected offspring
23161	Serum potassium before and during nadroparine
23162	Treatment outcomes
23163	Comparison of IL10.R alleles in RA patients from different locations
23164	Effects of lipid-lowering drugs on plasma aminoacids concentrations
23165	Clinical strategies to manage breastfeeding while on codeine
23166	Patient responses
23167	RF titres in different cohort subsets
23168	Current B-CLL stage  (Binet) , year of diagnosis, and treatment history
23169	ATM expression and ATM mutations in B-CLL
23170	Analysis of loss of heterozygosity  (LOH)  at 11q22-23
23171	Haematological and immune reconstruction after AHSCT
23172	Clinical rheumatological tests before and after AHSCT
23173	30-day endpoints by intervention and genotype
23174	Odds ratio for risk of coronary-artery disease among heterozygous and homozygous  (A2/A2)  carriers
23175	Relative risks for coronary artery disease and complications among heterozygous and homozygous carriers
23176	Clinical features of patients with probable or possible MSA and PSP and atypical parkinsonism
23177	Assessment of plaque-surface morphology of contralateral carotid artery stratified according to assessment of plaque-surface morphology of symptomatic carotid artery
23178	The risks of non-stroke vascular death and non- plaque-surface morphology of the symptomatic and contralateral carotid arteries
23179	Mortality due to the three subcategories of non-stroke vascular death stratified according to the assessment of the plaque surface morphology of the symptomatic carotid artery
23180	Outcome and HIV infection
23181	Comparison of clinical presentation between PCP and bacterial pneumonia
23182	Comparison of treatment response
23183	Effect of HIV infection on oxygen requirements and outcome
23184	Mortality rates and associated statistics for operations by procedure type and age-group
23185	Mortality rates and associated statistics for marker operations
23186	Mortality rates and associated statistics for operations by procedure type and operating centre
23187	Mortality rates for marker lesions by department
23188	Mortality rates and associated statistics for marker operations by surgeon
23189	Events after 14 days
23190	Frequency of symptomatic and asymptomatic cerebral haemorrhage after 14 days
23191	Causes of death  (14 days)
23192	Outcome at 14 days
23193	Outcome at 3 months
23194	Number of isolates of each pathogen identified by each diagnostic technique
23195	Distribution of pathogens observed in HIV-1-positive and HIV-1-negative patients, and in patients with different radiological categories of pneumonia
23196	Number of pneumonia patients who died or survived after 3 weeks of follow-up
23197	Adjusted odds ratios for death within 3 weeks of admission with acute pneumonia
23198	Number of pneumonia patients who died or survived after 3 weeks of follow-up
23199	Descriptive statistics of BMD measurements relative to cosmonauts who completed 1-month or 2-month missions in the Russian MIR station
23200	Friedman and Wilcoxon tests for the 6-month flight and recovery cohort
23201	Distribution of genotypes of unrelated individuals  (parents)  in the two panels
23202	Migraine symptoms in everyday life before closure of cardiac right-to-left shunts
23203	Fortification spectra after closure procedure
23204	Effect of closure of cardiac right-to-left shunts on migraine in everyday life
23205	Assessment of quality of life  (SF-36)
23206	Causes of death  (numbers of patients)
23207	All-cause mortality by subgroup of patients
23208	Adverse events occurring in 10% or more of the study population
23209	Atrial fibrillation study endpoints
23210	Stepwise logistic regression model for prediction of postoperaive atrial fibrillation
23211	β-blocker utilisation variables
23212	Potential side-effects
23213	Non-atrial fibrillation clinical outcomes
23214	Regional activation during migraine headache and rest
23215	Population prevalence and odds ratios  (1998/1990)  of respiratory symptoms, diagnoses, and health-care use
23216	Population prevalence and odds ratios of different patterns of wheeze in 1990 and 1998
23217	Population prevalence estimates and odds ratios  (1990/1998)  of environmental and social risk factors for wheeze
23218	Ethnic group distribution
23219	Prevalence of ejection fraction <40% and 40–50% by age and sex
23220	New York Heart Association functional class  (and definition)  of subjects with ejection fraction <40%
23221	Rates of definite, probable, and total heart failure on defined criteria
23222	Definite heart failure by age and sex
23223	Oligonucleotide primers used for detection of B19 NS1 and VP1 genes
23224	Clinical information and B19 markers in 12 patients with B19 meningoencephalitis
23225	Frequency of autism spectrum disorders  (ASD)  in boys
23226	Prevalence of parasite eggs in stool samples in case-control groups, and odds ratios for wheeze
23227	Distribution of dust allergens and odds ratios for wheeze
23228	Relation between IgE concentrations and allergen skin sensitisation to D pteronyssinus in the random subsample
23229	Relation between parasite eggs per gram and allergen skin sensitisation to D pteronyssinus in the random subsample
23230	Odds ratios for wheeze in relation to D Pteronyssinus allergen skin sensitisation, stratified by quartiles of total parasite infection intensity
23231	Early clinical outcomes within 30 days of surgery
23232	Midterm clinical outcome
23233	Primary outcome measures at 1 year
23234	Secondary outcomes measures at 1 year
23235	Prevalence of atopy in 1987 and 1998
23236	Relation between exposure to a cat and cat allergen at age 2–3 months and total serum IgE concentration at 2 years, stratified by maternal history of asthma
23237	Type and number of antiarrhythmic drugs being taken at cardioversion
23238	Primary outcome—moderate to severe neonatal morbidity and mortality
23239	Neonatal secondary outcome measures
23240	Maternal secondary outcome measures
23241	Antenatal risk factors in infants with evidence of acute brain injury only, or non-acute antenatal injury, or other diagnoses
23242	Detection of SMN1 mutation in fetal cells isolated from maternal blood
23243	Symptoms of 50 patients with SARS at presentation
23244	Initial laboratory findings of 50 patients with SARS
23245	Risk factors associated with severe disease requiring intensive care and ventilatory support
23246	Skin prick test reactivity
23247	Immunoreactivity to recombinant human ECM1 protein in patients with lichen sclerosus and comparison groups
23248	Coronary deaths of patients with diabetes treated with losartan or atenolol
23249	Neurological manifestations of HIV
23250	Antibodies against coronavirus in patients and controls
23251	Nucleotide sequence variation of the S gene of SARS CoV viruses
23252	Maternal serology
23253	Histological descriptions of tissues examined for maternal microchimerism
23254	Permutation analysis results for decline in distance from centre and increase in grey-matter density
23255	Environmental conditions: thermal and chemical
23256	Environmental conditions: organisms
23257	Organisms detected on surface samples  (coupons)  before and after UVGI exposure
23258	Participants’ assessment of environmental conditions
23259	Matched unadjusted analysis of reported symptoms
23260	Within-person subject estimates of effect of UVGI on symptoms, adjusted for environmental covariates measured at work sites  *
23261	Effects of antibodies to interleukin 10, interleukin 12, and interferon γ on cytokine mRNA expression and immunoreactivity in atopic mucosa from children stimulated with allergen and lipopolysaccharide
23262	Concomitant DMARD therapy and corticosteroid administration according to study drug assignment
23263	Differences after 6 months of treatment
23264	Activation and inactivation parameters from wild-type and mutant SCN5A cDNA in transiently tranfected tsA201 cells
23265	Compliance by allocated treatment in hospital
23266	Effects of metoprolol on main clinical events during scheduled treatment period in hospital
23267	Effects of metoprolol on other clinical events during scheduled treatment period in hospital
23268	Effects of metoprolol on main clinical events, by day of first such event
23269	Absolute effects of metoprolol on death alone, cardiogenic shock alone, and combined efficacy and safety endpoint in certain categories of patients
23270	Effects of metoprolol on combined efficacy  (death, reinfarction, ventricular fibrillation, or other arrest)  and safety  (cardiogenic shock)  endpoint by shock index and day of event
23271	Primary and secondary outcomes
23272	Stroke severity
23273	Clinical outcomes and use of oral anticoagulation therapy at study entry
23274	Reasons why patients identified with atrial fibrillation did not take part in the study
23275	Nature of primary events
23276	Risk of primary event and major haemorrhage by treatment allocation for different patient subgroups
23277	Risk of secondary and composite outcomes by treatment allocation for different patient subgroups
23278	Subgroup analysis for fracture
23279	Summary of metaregression analysis
23280	Sensitivity analysis by methodological criteria
23281	Distribution of patients between participating hospitals
23282	Treatments and prescribed drugs
23283	Primary endpoints and other outcomes obtained by angiography of left ventricles
23284	Study treatment exposure and discontinuation
23285	Outcome events  *
23286	Risk  (CHADS2 score)  and efficacy and safety outcome events
23287	Rate of potential confounding variables
23288	Development of diabetes in children who completed the study
23289	Number and duration of adverse events in the treatment groups
23290	Multivariable-adjusted Cox proportional hazards regression coefficients for 10-year risk of atrial fibrillation
23291	Risk scores for factors associated with 10-year risk of atrial fibrillation
23292	Predicted 10-year risk of atrial fibrillation assigned to the risk score
23293	Clinical outcomes
23294	Adverse events
23295	Association results for two variants in IL6R and chromosome 11q13.5 in the discovery, follow-up, and overall analyses
23296	CHADS2, CHA2DS2VASc, and HAS-BLED score calculators
23297	Endpoints by CHADS2 score
23298	Endpoints by CHA2DS2VASc score
23299	Endpoints by HAS-BLED score
23300	Results for composite clinical score
23301	Results of telemonitoring and clinical reactions
23302	Causes of deaths  *   in patients with heart failure and sinus rhythm or atrial fibrillation
23303	Hospital admissions for patients with heart failure and sinus rhythm or atrial fibrillation
23304	Primary and secondary outcomes
23305	Examples of devices for transcatheter closure of atrial septal defect
23306	Randomised controlled trials included in the network meta-analysis
23307	Estimated differences of the effect of interventions on percent diameter stenosis
23308	Odds ratios of the effect of interventions for binary restenosis
23309	Odds ratios of the effect of interventions for target–lesion revascularisation
23310	Association between time-varying digoxin pharmacotherapy and all-cause mortality, cardiovascular death, sudden cardiac death, and admission to hospital endpoints using time-dependent Cox proportional hazards regression models
23311	Time-dependent HF–digoxin interactions
23312	Time-dependent sex–digoxin interactions
23313	Atrial fibrillation incidence rates and age-adjusted period prevalence, by sex and decade
23314	Trends in age-adjusted and sex-adjusted hazards ratios for risk factors of incident atrial fibrillation, by decade of onset of atrial fibrillation
23315	Population-attributable risks of incident atrial fibrillation risk factors, by decade of onset of atrial fibrillation
23316	Epidemiology of frontotemporal dementia  8–10
23317	Genetic and pathological correlation in FTLD
23318	Subtypes of vascular dementia
23319	Significant benefits of drugs reported from randomised controlled trials of cholinesterase inhibitors in vascular dementia
23320	Primary and secondary outcomes
23321	Adverse events
23322	Presenting rhythm, as assessed retrospectively by electrocardiograph review
23323	Some of the more common side-effects associated with pharmacological treatment
23324	C-indices for the ABC-bleeding score  (including alternative biomarkers)  compared with the HAS-BLED and ORBIT scores in the full cohorts and in subgroups
23325	Pooled analysis of the early risk of recurrent vascular events, given per time period after randomisation, in trials of aspirin versus control in secondary prevention after transient ischaemic attack and ischaemic stroke
23326	Pooled analysis of the effect of any aspirin versus control in secondary prevention after TIA and ischaemic stroke on the early risk of any recurrent ischaemic stroke and on disabling or fatal ischaemic stroke stratified by the nature of the presenting event  (TIA and minor stroke vs major stroke)  and by time from presenting event to randomisation  (≤14 days vs >14 days)
23327	Crude data for patient outcomes
23328	Crude mortality data based on the reason for initial emergency department visit
23329	Variance between regions and effect of adjustment on outcomes
23330	Outcome descriptive statistics
23331	Summary of key efficacy results
23332	Summary of adverse events in the safety population
23333	Joints injected
23334	Differences between deprivation groups at each assessment wave
23335	Adjacent contrasts testing differences between assessment waves within deprivation groups
23336	Main results
23337	Sensitivity analyses
23338	Key secondary anticoagulation treatment outcomes in the intervention and control groups
23339	Secondary clinical outcomes in the intervention and control groups
23340	Adverse events
23341	Participants with new vertebral fractures
23342	Participants with clinical fractures
23343	Participants with upper-gastrointestinal adverse experiences
23344	Description of cases with acquired drug-resistance
23345	Clinical risk factors in cases with acquired drug-resistance  (ADR)  and control patients
23346	Participants in the analyses
23347	Relative risk of UGIB with regular and occasional use of aspirin products in week before index day
23348	Regular use of aspirin products in week before index day according to bleeding site
23349	Endpoints by groups
23350	Non-arrhythmic cardiac deaths and non-cardiac deaths
23351	Severe adverse effects
23352	Causes of early discontinuation of study medication
23353	Concomitant medication at time of enrolment
23354	Early permanent discontinuation of study medication
23355	Primary and secondary outcome events
23356	Rates of initial haemostasis and recurrent bleeding
23357	Admission rates in the West Midlands Region for infectious intestinal disease 1990–95  (per 10000 population)
23358	Risk of breast cancer in premenopausal women who had ever or never smoked
23359	Risk of breast cancer in postmenopausal women who had ever or never smoked
23360	Relation between body-mass index  (BMI)  and risk of breast cancer in postmenopausal women who ever or never smoked
23361	Numbers of Borrelia sp and malaria infections
23362	MRI and clinical outcomes of participants
23363	Primary and secondary endpoints for groups assigned MIT therapy versus no MIT therapy and prayer versus no prayer  *
23364	Primary and secondary endpoints for: no prayer versus two-tiered prayer  (subset of patients randomised after two-tier prayer was introduced)
23365	Unadjusted Kaplan-Meier rates for primary and secondary endpoints in factorial treatment groups
23366	Days of monitoring, incidence, and clinical presentation of TBRF, according to age and sex
23367	Prevalence of Borrelia infections in small mammals, by year
23368	Effect of early vs delayed interferon beta-1b on occurrence of clinically definite MS, MS according to the McDonald criteria, and confirmed EDSS progression
23369	Change in functional system scores in patients with confirmed EDSS progression  (up to day 1080)
23370	MRI and clinical outcome measures  (intention-to-treat cohort)
23371	Chemotherapy regimens
23372	Univariate and multivariate analyses of prognostic factors associated with 10-year overall and recurrence-free survival
23373	Reasons for early termination of treatment
23374	Delay of onset of clinically definite multiple sclerosis by subgroups  (post-hoc analyses)
23375	Frequency of common adverse events  *
23376	Treatment details
23377	Primary outcomes of fatigue and physical function
23378	Safety outcomes
23379	Participant-rated clinical global impression of change in overall health
23380	Secondary outcomes
23381	Adverse events
23382	MRI and clinical outcomes
23383	Safety outcomes at weeks 24 and 48
23384	Effect of covariates on parasite clearance half-life of Plasmodium falciparum examined by univariate analysis
23385	Admission variables associated with parasite clearance half-life of Plasmodium falciparum in multivariate regression analysis
23386	Clinical and MRI outcomes
23387	Adverse events
23388	Treatment efficacy at week 36 for the modified intention-to-treat population in the open-label period and at week 88 for the modified intention-to-treat subpopulations in the double-blind period
23389	Safety summary
23390	Clinical and MRI endpoints by treatment group
23391	Adverse events
23392	Adjusted PANSS and IDEAS total scores over 12 months
23393	Changes in PANSS subscale and IDEAS domain scores over 12 months
23394	Stigma and discrimination outcomes for people with schizophrenia
23395	Comparison of early palliative care intervention and standard care
23396	Palliative care intensity for intervention and control groups
23397	Sensitivity analyses using three methods for handling missing data
23398	Primary and secondary outcome variables at months 3, 6, 9, 12, 15, and 18
23399	Estimates of treatment effect  (common to all follow-up times)
23400	Number of participants achieving improvement/deterioration on adjusted PANSS total scores at 9 and 18 months
23401	Hospital admissions during the treatment phase
23402	Description of the studies  (N=22)  included in the systematic review of community empowerment approaches to address HIV among sex workers
23403	Clinical outcomes at 1 year and 5 years for the intention-to-treat population
23404	Localisation of the peak voxels of the connectivity assessment
23405	Cox regression analysis of time to sputum culture conversion
23406	Secondary outcome measures at 56 days, by allocation
23407	Adverse events
23408	Treatment-emergent adverse events and serious adverse events
23409	Melatonin in feverfew and other medicinal plants
23410	Patient's mutations and family history
23411	Estimated cumulative risk of cancers in BRCA1 and BRCA2 mutation carriers
23412	All deaths and cardiac transplantation during the double-blind eriod of MDC study, and at 18 and 36 months after randomisation during open follow-up
23413	Blood-test results, 1992–94
23414	Frequency and grade of acute rejection  (AR)  after liver transplant  (clinically significant episodes requiring treatment and untreated AR reported on protocol biopsy)  in patients receiving Neoral  (n=94/99)  and Sandimmun  (n=64/67)  based triple therapy during first 2 postoperative weeks; and 1 month and 1 yr graft and patient survival  (%)   (Kaplan Meier)
23415	Serum and urine electrolytes during terlipressin treatment
23416	Results of postal survey
23417	Liver function tests before hospital admission
23418	Der p 1 allergen on human skin
23419	Studies of oral ACE inhibitors in aortic stenosis
23420	BP measurements in diagnosis of orthostatic hypotension
23421	Distribution of the intron 8 polythymidine polymorphism of CFTR in the neonates
23422	Mean  (SD)  bone density and biochemical data of cystic fibrosis adults receiving intravenous pamidronate
23423	Blood glucose  (mmol/L)  after oral glucose-tolerance tests
23424	Death rates  (per 1000 person years) , number of deaths, and mortality ratios for various causes of death among men aged 44–55 years, according to diabetic  (NIDDM)  and non-diabetic  (non-DM)  status in the Whitehall, Paris Prospective, and Helsinki Policemen studies
23425	Thrombotest and trail lengths
23426	Lymphocyte subsets and proliferative responses to T-cell mitogens of a DGA patient treated by transplantation of blood mononuclear cells
23427	Endocrine evaluation at presentation and during follow-up period
23428	Biochemical, histological, and virological features of the four couples
23429	Associations of blood donors with GBV-C exposure
23430	SimpliRED D-dimer results overall and in each probability category
23431	Mortality rate by cause of death and treatment after acute ischaemic stroke
23432	Changes in markers of oxidative stress after streptokinase
23433	Changes in lipid concentrations and event rates after substitution of fluvastatin for simvastatin
23434	Laboratory and clinical results of erythropoietin supplementation given enterally to premature infants
23435	P3G concentrations in daily samples of early morning urine during treatment and concentrations of plasma progesterone and 17-OHP on last day of treatment
23436	Percentage incidence of oestrogen and progesterone receptors in breast tumours
23437	Standardised mortality ratios  (SMR)  of suicides in male prisoners by age band  (in years) , 1978–2003
23438	Neuroimaging in Lewy body dementias
23439	Evidence for treatment of dementia with Lewy bodies and Parkinson's disease dementia  129,130
23440	Comparison of nursing contacts for women and men in intervention group
23441	Causes of death, non-fatal MI, and readmissions for revascularisation
23442	ANCOVA of psychological factors at 1 year in intervention and control groups
23443	Clinical trials of homoeopathy
23444	Trials in meta-analysis
23445	Pooled odds ratios and 95% CI  (random-effects model)
23446	Results of four placebo-controlled randomised multicentre trials of Galphimia glauca for pollinosis
23447	Results of randomised trials of various homoeopathic remedies for postoperative ileus after abdominal surgery
23448	Screening process and rate of pulmonary tuberculosis in Zomba Central Prison
23449	Sputum smear results for prisoners with cough of longer than 1 week's duration
23450	Number of HIV-seropositive prisoners with cough of 1 or more weeks' duration
23451	Total sales of HRT preparations in Denmark, 1990–93
23452	Risk of subarachnold haemorrhage according to use of HRT and identified risk factors in women aged 45–64 years
23453	Risk of intracerebral haemorrhage according to use of HRT and identified risk factors in women aged 45–64 years
23454	Risk of thromboembolic infarction according to use of HRT and identified risk factors in women aged 45–64 years
23455	Risk of transient ischaemic attack according to use of HRT and identified risk factors in women aged 45–64 years
23456	Studies of effect of HRT use on risk of stroke
23457	Standardised mortality ratio
23458	Comparison of acid-fast-bacilli smear-positive, smear-negative, and smear-indeterminate patients
23459	Psychiatric admission rates through the criminal justice system of housed and homeless people in central London
23460	Heart rate, time-domain and frequency-domain factors of heart rate variability and mean blood pressure  (BP)  in postmenopausal women without or with HRT
23461	Arrival times and times to each stage in the assessment of stroke patients in a large UK teaching hospital
23462	Height-velocity percentiles and height percentiles in children with third-degree burns
23463	Ordered logistic regressions for predicting outcome group 21·3 years after first hospitalization
23464	Pairing of the tabias by their under-5 mortality rates
23465	Under-5 mortality rate per 1000 child-years according to intervention and control tabias from Jan 1, to Dec 31, 1997
23466	Under-5 mortality per 1000 child-years in intervention and control tabias by age and sex
23467	Cause of death according to verbal autopsy in under-5s
23468	Number of deaths according to place and treatment groups
23469	Regression models for death at home
23470	Use of nursing-home beds
23471	Use of hospitals
23472	Cholecystecomy rate  (per 100 000 population)  by age and sex category in prelaparoscopic  (1984–90)  and laparoscopic period  (1993–99)
23473	Trend in postoperative mortality after cholecystecomy in prelaparoscopic  (1981–90)  and laparoscopic  (1991–98)  periods
23474	Comparison of laparoscopic and open cholecystectomies  (1996–98)
23475	Effect of surgeon's cumulative laparoscopic experience and cholecystectomy caseload on the proportion of operations done laparoscopically, postoperative stay, and 90 day postoperative mortality  (January, 1990, to March, 1999)
23476	Potential sources of misestimation of HIV/AIDS data in CRS
23477	Overseas development budgets for sexually- transmitted disease control, including HIV/AIDS, in least developed and other low-income countries  (1990–98)
23478	Overseas development budgets for sexually-transmitted disease control, including HIV-AIDS, in sub-Saharan Africa  (1990–98)
23479	All donors and lenders  (1990–98)  and all allocations to recipient countries
23480	Nutritional regimens
23481	Number of patients with postoperative complications
23482	Complications in detail
23483	Adverse effects of artificial nutrition
23484	Cases of HIV-1 infection, Orel oblast, Russia, 1996–2000
23485	Effect of potential confounders on risk of venous leg ulcers or pressure ulcers associated with HRT use
23486	Type of accommodation at prevalence screen by sex
23487	Prevalence of dementia in respondents from institutions by age and sex
23488	HIV-1 incidence per treatment group per centre, and overall
23489	Incidence of sexually transmitted infections  (time to first event)
23490	HIV-1 incidence per treatment group and frequency of gel use
23491	Incidence of lesions with an epithelial breach per treatment group and frequency of gel use
23492	Comparison of results on questionnaire between group of participants who received a single consent meeting and group Who received three information sessions and a consent meeting
23493	A general grouping of the deaths
23494	Classification of deaths in 27 families with completed enquiries ccording to explained or SIDS
23495	Probability that index death and first CONI death were both udden unexpected deaths in infancy versus one or both were unnatural
23496	Probability that index death and first CONI death were both IDS versus one or both were probably covert homicide
23497	Prevalence of self-reported experience of racial discrimination  (ever)  by ethnic group
23498	Māori and European health inequalities, adjusted for various factors
23499	Analysis of the odds of having a unique strain
23500	Consensus disposition classification and tolerance for rate of consequential medical events
23501	Critical interventions and expert panel consensus of likelihood consequential medical event if procedure or treatment modality withdrawn
23502	Difference-in-difference estimates with nationally representative data  (CSPLC)  from 1998 and 2004
23503	All-cause, infectious, and non-infectious disease hospital admissions by 5-year periods in New Zealand  (1989–2008)
23504	Health expenditure in six countries of the Organisation for Economic Co-operation and Development
23505	Cluster-adjusted toolkit mean scores and differences in the postintervention assessment
23506	Cluster-adjusted view of informal carers-evaluation of services symptom scales in the postintervention assessment
23507	Cluster-adjusted estimates of medications administered in the last 2 days of life of the patient in the postintervention assessment
23508	Estimated differences in toolkit scales between hospital and hospice bridged by the LCP-I implementation in hospital wards
23509	Management in the comprehensive geriatric assessment and care and the orthopaedic care groups
23510	Clinical assessments
23511	Health-care use
23512	Cost per patient
23513	Firearm legislation during 2009
23514	Risk of firearm death associated with protective firearm laws in four US states in 2010
23515	Change in national firearm mortality per 100 000 people with federal implementation of the three most effective firearm laws
23516	Firearm legislation in 2009 and the risk of fatal firearm homicides and suicides
23517	Procedural results and 30-day clinical events
23518	Clinical events during 12-month follow-up
23519	Description of the PREDICT-1° cohort in women and men
23520	Adjusted hazard ratios for total CVD in the PREDICT-1° equations
23521	Beta coefficients in the PREDICT-1° equations
23522	Standard performance metrics for PREDICT-1° equations  (estimating 5-year risk of total cardiovascular disease)  and the 2013 American College of Cardiology/American Heart Association Pooled Cohort Equations  (estimating 5-year risk of hard atherosclerotic cardiovascular disease)  applied to the whole PREDICT-1° cohort
23523	Adjusted hazard ratios for hard atherosclerotic cardiovascular disease of new PREDICT-1° equation variables added to the Pooled Cohorts Equations
23524	Relation of ultrasound classification of risk of neurological deficits to quality of movements and outcome at 2 years
23525	Correlation of rCBF in different brain regions  (normalised to cerebellum)  to single positive and negative symptoms in neuroleptic-naïve patients before and after neuroleptic treatment
23526	Principal component-factor analysis of five symptoms and three regions of interest  (n=8)
23527	Principal component-factor analysis of six symptoms and four regions of interest  (n=10)
23528	Comparison of regional blood flow in drug-naïve schizophrenic patients and matched healthy volunteers
23529	Cosmetic results of abdominal scars
23530	Mamillary body values for all groups
23531	Mean  (SD)  regional brain volumes in cm3
23532	Volumes of structures of interest in high-risk group according to presence or absence of affected first-degree relatives
23533	Mean  (SD)  number of fingers per hand that showed Raynaud's phenomenon during laboratory cooling
23534	Relative risks of having received at least one conviction for those men with schizophrenia in the 1975 and 1985 groups, compared with controls matched for age, sex, and residence
23535	Frequency of diagnosess of mental disorder and learning disability, and comorbidity of substance-abuse disorders
23536	Number of criteria for Diogenes syndrome met, and variation by presence of active mental disorder and contributory physical disorder
23537	Multivariate associations with LCRS interior scale scores and with having mental disorder
23538	Previous Cardiovascular Therapies by Drug Class  a
23539	Results of Variables Used to Assess Efficacy of Treatment
23540	Clinical Status Assessment at End of Study
23541	Activity at Onset of Symptoms by Age Group
23542	Comparison of Patients by Activity at Onset of Symptoms of Myocardial Infarction
23543	Association Between Activity at Onset of Symptoms and Outcome
23544	Intravascular Ultrasound Findings of Coronary Aneurysms
23545	Factors Associated With the Propensity of Beta-Blocker Prescription
23546	Survival Benefit Associated With Beta-Blocker Use After PCI
23547	Association Between Metabolic Syndrome and Systolic and Diastolic Echocardiographic Abnormalities in Adult Survivors of Childhood Cancer  ∗
23548	Population With Central Measurements  (n = 181) : Main Cardiovascular Parameters: Adjusted % Means ± Standard Error of Means Are Presented at M0, M6, M12
23549	Clinical outcomes in the per-protocol population
23550	Adverse events reported at least once by patients on self-questionnaires completed each day after 1000 mg of methylprednisolone and until day 28
23551	Remission from depression during augmentation with aripiprazole or placebo
23552	Adverse events and tolerability measures during the augmentation phase
23553	Adverse events
23554	Common treatment-emergent adverse events  (20% or more of patients)  in the safety population
23555	Breast cancer first events
23556	Breast cancer-free interval and disease-free survival events by age group
23557	Non-breast cancer events
23558	Adverse events by treatment group
23559	Studies of TAVR
23560	Patient treatment stratified by line of therapy and the results of routine molecular analyses
23561	Outcomes stratified by line of therapy and molecular alteration
23562	Unadjusted clinical outcomes in the as-treated populations
23563	Primary endpoint composite by propensity score quintile
23564	Grade 3–4 severe treatment adverse events according to assigned treatment group
23565	Clinical outcomes of patients 30 days after device implantation
23566	Type of intervention in isolated mitral regurgitation
23567	Antibiotic susceptibility testing in mice  (15 per group) . The number  (percentage)  of mice surviving at day 24 is given for each treatment
23568	Doxycycline susceptibility testing in mouse fibroblast cell culture: mean percentage of L929 cells which contain rickettsia after 30 h  (95% CI)
23569	Input variables and sources
23570	Cost-effectiveness  ($)  of screening and treatment at age 50 years
23571	Patients infected with ceftazidime-resistant and blactam-resistant Pseudomonas aeruginosa,1987–95
23572	Distribution of variables
23573	Distribution of confirmed sites of relapse  (%)  within randomised groups
23574	Control of loco-regional  (L/R)  relapse within randomised groups and according to whether or not breast remains conserved
23575	Percentage with loco-regional  (L/R)  relapse according to variables and total follow-up for randomised groups
23576	Sites of recurrence of breast cancer in patients who received systemic therapy according to ER status of primarytumour
23577	5-year relapse rates in treated breast in trials of local excision with or without radiotherapy
23578	Modified Jerger's classification
23579	Patients' haracteristics
23580	Reported side-effects
23581	Outcome at follow-up visit at 2 weeks
23582	Prognostic factors for OME at follow-up visit
23583	Univariate analysis of risk factors for thrombosis events
23584	Multivariate analysis of risk factors for stroke and arterial thrombosis
23585	Age and sex distribution of children by treatment group
23586	Mean proportions of children with resolution and healing  (%)  at 8, 12, and 16 weeks by treatment group
23587	Effects on average hearing threshold at different time periods due to improvements in CSOM
23588	US licence applications for sale of medical products to Cuba
23589	Findings of repeat scintigraphy
23590	Patients with abnormal findings of the urinary tract
23591	Resistance to clprofloxacln in 40 clinical Isolates of Escherlchla call
23592	1-month evaluation study of patients put forward for study by 40 general practitioners
23593	Mean change in clinical variables after 1 and 2 weeks in sinusitis patients treated with antibiotics or placebo
23594	Geometric mean red-cell and plasma folate concentrations in pregnant and non-pregnant women, according to genotype
23595	Reports of S aureus from blood or cerebrospinal fluid in UK, 1989–95
23596	Resistance rates for S aureus from blood or cerebrospinal fluid, England and Wales, 1989–95
23597	Resistance rates to methicillin by former English National Health Service region, 1993–95
23598	Resistance rates to other antibiotics in MSSA and MRSA isolates, UK, 1989–95
23599	MICs of subclones of Mu3 obtained by selection with various concentrations of vancomycin
23600	Pretreatment and post-treatment red-cell folate  (RCF)  and estimated NTD risk per 1000 births
23601	Incremental changes in red-cell folate  (RCF)
23602	Selected indicators of mortality and life expectancy 1990 in Albania and selected European countries
23603	Average consumption of selected foods  (g per person per day)  in Albania and selected countries
23604	Epidemic  Salmonella typhi  from Tajikistan isolated in 1997
23605	Mean daily intakes of trans fatty acids in men and women in 14 European countries
23606	Salmonella bacteraemia in England and Wales, 1994–96
23607	PCR amplification of wild housefly abdominal extracts
23608	ELISA results
